timestamp,metric,value,run_name,method,test_case,field,tags
1499289917000,sar.cpu%,16.2858064516,nightly-2017-07-05-14-23-51,dv,jsonfacet,s10_s,{}
1499290101000,sar.cpu%,16.2966666667,nightly-2017-07-05-14-26-55,dv,jsonfacet,s100_s,{}
1499290285000,sar.cpu%,16.3184946237,nightly-2017-07-05-14-29-59,dv,jsonfacet,s1000_s,{}
1499290469000,sar.cpu%,16.3010752688,nightly-2017-07-05-14-33-03,dv,jsonfacet,s10000_s,{}
1499290653000,sar.cpu%,16.4203225806,nightly-2017-07-05-14-36-07,dv,jsonfacet,s100000_s,{}
1499290837000,sar.cpu%,16.5191397849,nightly-2017-07-05-14-39-11,dv,jsonfacet,s1000000_s,{}
1499291021000,sar.cpu%,16.2983870968,nightly-2017-07-05-14-42-16,enum,jsonfacet,s10_s,{}
1499291205000,sar.cpu%,16.2803225806,nightly-2017-07-05-14-45-20,enum,jsonfacet,s100_s,{}
1499291389000,sar.cpu%,16.3230107527,nightly-2017-07-05-14-48-24,enum,jsonfacet,s1000_s,{}
1499291573000,sar.cpu%,16.3423655914,nightly-2017-07-05-14-51-28,enum,jsonfacet,s10000_s,{}
1499291758000,sar.cpu%,16.4497849462,nightly-2017-07-05-14-54-32,enum,jsonfacet,s100000_s,{}
1499291942000,sar.cpu%,16.5168817204,nightly-2017-07-05-14-57-36,enum,jsonfacet,s1000000_s,{}
1499357652000,sar.cpu%,16.3650537634,nightly-2017-07-06-09-12-46,dv,jsonfacet,s10_s,{}
1499357836000,sar.cpu%,16.3382795699,nightly-2017-07-06-09-15-50,dv,jsonfacet,s100_s,{}
1499358020000,sar.cpu%,16.328172043,nightly-2017-07-06-09-18-54,dv,jsonfacet,s1000_s,{}
1499358204000,sar.cpu%,16.405483871,nightly-2017-07-06-09-21-58,dv,jsonfacet,s10000_s,{}
1499358388000,sar.cpu%,16.4980645161,nightly-2017-07-06-09-25-02,dv,jsonfacet,s100000_s,{}
1499358572000,sar.cpu%,16.5796774194,nightly-2017-07-06-09-28-06,dv,jsonfacet,s1000000_s,{}
1499358756000,sar.cpu%,16.3031182796,nightly-2017-07-06-09-31-10,enum,jsonfacet,s10_s,{}
1499358940000,sar.cpu%,16.3049462366,nightly-2017-07-06-09-34-14,enum,jsonfacet,s100_s,{}
1499359124000,sar.cpu%,18.4759139785,nightly-2017-07-06-09-37-18,enum,jsonfacet,s1000_s,{}
1499359308000,sar.cpu%,16.3847311828,nightly-2017-07-06-09-40-22,enum,jsonfacet,s10000_s,{}
1499359492000,sar.cpu%,16.5147311828,nightly-2017-07-06-09-43-26,enum,jsonfacet,s100000_s,{}
1499359677000,sar.cpu%,16.5652688172,nightly-2017-07-06-09-46-31,enum,jsonfacet,s1000000_s,{}
1499400508000,sar.cpu%,16.3177419355,nightly-2017-07-06-21-07-02,dv,jsonfacet,s10_s,{}
1499400692000,sar.cpu%,16.3196774194,nightly-2017-07-06-21-10-06,dv,jsonfacet,s100_s,{}
1499400876000,sar.cpu%,16.3694623656,nightly-2017-07-06-21-13-10,dv,jsonfacet,s1000_s,{}
1499401060000,sar.cpu%,16.4237634409,nightly-2017-07-06-21-16-14,dv,jsonfacet,s10000_s,{}
1499401244000,sar.cpu%,16.4855913978,nightly-2017-07-06-21-19-18,dv,jsonfacet,s100000_s,{}
1499401428000,sar.cpu%,16.6031182796,nightly-2017-07-06-21-22-22,dv,jsonfacet,s1000000_s,{}
1499401612000,sar.cpu%,16.3193548387,nightly-2017-07-06-21-25-27,enum,jsonfacet,s10_s,{}
1499401796000,sar.cpu%,16.3460215054,nightly-2017-07-06-21-28-31,enum,jsonfacet,s100_s,{}
1499401980000,sar.cpu%,16.3289247312,nightly-2017-07-06-21-31-35,enum,jsonfacet,s1000_s,{}
1499402164000,sar.cpu%,16.4283870968,nightly-2017-07-06-21-34-38,enum,jsonfacet,s10000_s,{}
1499402348000,sar.cpu%,19.3448387097,nightly-2017-07-06-21-37-42,enum,jsonfacet,s100000_s,{}
1499402532000,sar.cpu%,16.5191397849,nightly-2017-07-06-21-40-46,enum,jsonfacet,s1000000_s,{}
1499487220000,sar.cpu%,16.288172043,debug-2017-07-07-21-12-14,dv,jsonfacet,s10_s,{}
1499487404000,sar.cpu%,16.3858064516,debug-2017-07-07-21-15-18,dv,jsonfacet,s100_s,{}
